1139:377:4:"2000-11-22 08:29:17"
1524:3857:4:"2000-11-20 19:57:23"
4823:2987:3:"2000-07-09 00:25:18"
336:2105:5:"2000-12-09 12:38:32"
5131:1752:2:"2000-06-27 20:32:25"
4786:2006:4:"2000-07-07 22:29:26"
2355:300:4:"2000-11-16 19:45:09"
3018:2717:3:"2000-10-02 23:20:30"
4169:1214:4:"2000-10-15 04:58:53"
5056:2011:4:"2000-07-01 23:12:44"
1974:50:4:"2000-11-20 04:31:40"
2503:2513:2:"2000-11-13 04:27:57"
655:2926:1:"2000-12-01 22:57:52"
5223:247:5:"2000-06-20 21:45:49"
1496:512:3:"2000-11-20 20:59:03"
4041:2770:4:"2000-08-06 00:12:13"
301:3752:2:"2000-12-11 04:13:20"
5524:2081:4:"2000-05-30 00:18:17"
1803:2322:2:"2000-11-20 08:36:36"
4242:1690:4:"2000-08-03 16:05:11"
4195:1252:4:"2000-08-03 19:29:47"
284:1968:3:"2000-12-11 22:49:07"
3799:2791:4:"2000-08-11 17:05:50"
2376:1747:2:"2001-06-03 19:52:32"
457:367:3:"2000-12-09 21:05:09"
5178:104:4:"2000-06-26 07:21:35"
464:1265:1:"2000-12-07 23:19:58"
4946:1947:5:"2000-07-03 18:19:19"
5661:1704:4:"2000-05-20 01:32:22"
3742:1500:3:"2000-08-13 07:32:42"
2679:2355:3:"2000-11-05 03:47:58"
203:2976:3:"2000-12-16 02:18:13"
1749:21:3:"2000-11-21 22:38:42"
2860:2130:5:"2000-11-14 21:08:17"
3349:1500:2:"2000-08-31 21:10:58"
3618:1247:4:"2000-08-18 14:11:49"
4048:1226:5:"2000-08-05 20:49:30"
2371:457:3:"2000-11-16 02:59:54"
2100:1242:4:"2000-11-19 22:55:56"
1948:1917:2:"2000-11-20 05:50:46"
4568:1668:3:"2000-07-25 01:20:52"
660:21:3:"2000-12-01 17:44:02"
426:1200:4:"2000-12-12 06:10:34"
112:3101:1:"2000-12-22 19:06:25"
3054:647:3:"2002-02-27 06:51:13"
2063:742:2:"2000-11-19 21:41:31"
1019:369:2:"2001-10-05 20:36:54"
2642:3354:4:"2000-11-07 03:53:30"
5964:1573:4:"2000-04-29 10:16:44"
5632:2278:1:"2000-05-22 18:59:49"
268:10:4:"2000-12-12 19:51:43"
4820:3617:4:"2000-07-06 23:49:16"
5948:186:3:"2000-06-01 04:21:40"
2768:457:4:"2000-11-01 23:22:51"
6003:1958:4:"2000-04-29 06:42:39"
735:3704:3:"2000-11-29 07:40:31"
3410:2791:4:"2000-08-28 22:00:06"
1266:728:4:"2001-01-06 02:49:02"
5307:1198:5:"2000-06-14 00:46:46"
3558:1562:1:"2000-08-20 22:27:40"
3327:587:1:"2001-04-30 03:06:33"
1333:1015:1:"2000-11-21 04:32:41"
4238:2146:2:"2000-08-04 21:12:17"
4133:2617:4:"2000-08-04 03:08:56"
1778:62:5:"2000-11-30 10:19:36"
3936:3114:5:"2000-08-08 04:04:56"
437:1272:5:"2000-12-08 13:27:48"
4220:3149:1:"2000-08-16 21:52:49"
148:11:5:"2000-12-20 18:55:39"
5765:2174:2:"2000-05-13 03:15:05"
3814:3812:4:"2000-08-11 02:03:25"
5048:3524:5:"2000-07-02 02:06:09"
2764:34:4:"2000-11-02 04:21:44"
587:919:4:"2000-12-10 08:03:20"
2674:3408:4:"2000-11-05 09:51:23"
2537:2136:3:"2000-11-12 18:48:03"
3105:480:4:"2000-09-21 18:07:15"
4169:2115:3:"2000-10-15 05:37:36"
1753:2700:5:"2000-11-20 08:30:02"
5765:1858:4:"2000-05-13 03:27:17"
1311:10:4:"2000-11-21 05:38:29"
1182:1259:3:"2001-08-08 10:58:29"
3018:3770:3:"2000-10-02 19:20:50"
3737:1393:4:"2000-08-13 20:15:33"
96:3105:3:"2001-01-27 03:37:29"
5112:1513:4:"2000-06-30 02:56:35"
326:1372:3:"2000-12-10 05:38:10"
5844:745:5:"2000-05-08 18:03:19"
3922:2599:4:"2000-08-08 07:15:40"
111:2294:3:"2000-12-22 20:14:20"
4579:150:4:"2000-09-24 01:13:06"
1507:595:5:"2000-11-20 20:32:27"
2620:2278:4:"2000-11-08 05:29:26"
4779:2065:4:"2000-07-08 03:11:11"
808:1304:4:"2000-11-28 07:43:09"
1164:215:4:"2000-11-29 04:39:15"
5421:527:5:"2000-06-04 23:20:10"
1004:2414:4:"2000-11-24 06:36:59"
4086:3408:5:"2000-08-05 21:06:59"
3713:3006:3:"2000-08-14 18:19:02"
3180:2567:2:"2000-09-13 01:30:46"
2157:1009:4:"2000-11-19 08:17:04"
3858:3034:5:"2000-08-10 05:02:27"
3143:437:3:"2000-09-15 05:34:37"
3292:1207:5:"2000-09-04 22:25:18"
2589:1923:3:"2000-11-10 15:11:02"
1088:2857:4:"2001-03-04 23:28:41"
5689:581:2:"2000-08-02 02:40:13"
4734:908:4:"2000-07-11 16:30:15"
5371:2067:4:"2000-06-08 18:25:07"
577:2792:4:"2000-12-05 02:40:05"
1645:355:3:"2000-11-23 12:53:42"
2679:1282:5:"2000-11-05 03:56:22"
1221:2641:5:"2000-11-21 22:01:56"
4615:111:5:"2000-07-21 03:13:18"
2648:608:5:"2000-11-09 19:18:45"
3107:2792:3:"2000-09-21 06:18:21"
5077:1914:2:"2000-07-01 04:30:10"
2929:1978:2:"2000-10-15 07:52:27"
1147:924:5:"2000-11-22 06:57:03"
369:2567:3:"2000-12-08 22:22:34"
2153:858:5:"2000-11-19 09:36:20"
3125:272:5:"2001-06-20 23:59:39"
5787:3262:2:"2002-05-24 04:11:36"
3952:3478:4:"2000-11-19 02:00:01"
5452:2916:2:"2000-06-02 09:39:32"
187:2443:4:"2000-12-19 14:41:30"
566:1909:3:"2000-12-05 20:06:06"
721:1031:3:"2000-12-02 18:18:12"
629:34:4:"2000-12-02 20:11:43"
1194:2427:4:"2002-11-02 19:00:53"
4635:709:3:"2000-07-20 00:41:52"
355:44:4:"2001-01-12 01:44:32"
3773:879:3:"2000-08-12 04:01:20"
337:788:5:"2000-12-09 09:11:21"
1701:2248:4:"2001-02-26 09:03:33"
2773:1956:5:"2000-11-01 10:23:19"
3381:3717:2:"2000-08-29 20:12:14"
3311:2597:3:"2000-09-11 06:50:34"
38:1593:2:"2000-12-29 00:13:12"
2818:562:4:"2000-10-27 19:37:14"
2438:1959:2:"2000-11-14 19:26:36"
1912:2952:3:"2002-09-06 08:01:18"
4957:2605:3:"2000-07-03 17:22:33"
4567:1260:5:"2000-07-25 02:42:18"
2743:1590:3:"2000-11-03 05:06:03"
4946:916:3:"2000-07-03 18:15:24"
660:1831:1:"2000-12-01 17:52:33"
3182:3016:1:"2000-09-12 18:11:48"
3491:1968:4:"2000-08-23 22:43:25"
3081:750:5:"2000-09-24 15:53:25"
3217:900:3:"2000-09-09 01:31:43"
1680:3167:5:"2000-11-20 10:49:46"
1260:3427:3:"2001-04-16 20:52:25"
5453:1242:4:"2000-06-02 08:52:28"
3491:3259:4:"2000-08-24 00:16:31"
3734:2531:3:"2000-08-13 21:15:48"
5184:3729:3:"2000-06-23 06:27:36"
2274:673:1:"2000-11-18 17:28:12"
4373:1136:5:"2000-08-02 03:35:59"
5124:587:4:"2000-06-28 15:59:13"
1492:171:4:"2000-11-20 21:01:22"
3320:1947:3:"2000-09-17 21:05:25"
533:344:2:"2000-12-07 21:06:42"
5848:2712:3:"2000-05-08 13:11:49"
1383:919:5:"2000-11-21 04:00:40"
5135:3210:2:"2000-06-27 09:09:23"
5454:3578:4:"2000-06-02 07:08:34"
539:2826:5:"2000-12-06 19:52:43"
3643:457:4:"2000-08-17 02:11:00"
1044:3360:4:"2000-11-23 09:01:40"
202:2329:4:"2000-12-16 04:28:23"
1860:318:3:"2000-11-26 17:42:52"
5643:3260:3:"2000-07-16 05:25:16"
2508:3114:3:"2000-11-13 01:29:35"
2064:2871:5:"2000-11-19 21:41:17"
1842:2396:5:"2001-06-25 06:58:57"
166:3160:4:"2000-12-20 09:14:29"
2627:3098:3:"2001-04-30 21:55:00"
2878:1953:4:"2000-10-24 07:16:43"
5438:3108:2:"2000-06-03 04:09:50"
4425:2135:3:"2000-08-01 08:06:13"
957:909:5:"2000-12-19 05:56:37"
2054:3578:5:"2000-11-19 21:00:17"
2699:1032:3:"2000-11-04 03:56:41"
2106:371:2:"2000-11-28 19:15:03"
3963:923:5:"2000-09-24 02:04:19"
2195:1210:5:"2000-11-19 04:52:25"
3101:2989:4:"2000-09-22 02:32:44"
3844:1971:4:"2000-08-10 08:56:31"
4018:2115:1:"2000-08-06 04:05:34"
4928:2567:3:"2000-07-04 02:25:19"
881:1242:4:"2002-02-12 18:54:59"
929:81:4:"2000-11-25 23:16:07"
4018:1690:1:"2000-08-06 04:22:42"
3610:1198:5:"2000-12-27 04:10:07"
5614:2433:4:"2000-05-24 19:58:10"
1340:1197:5:"2000-11-21 03:43:35"
363:2139:3:"2000-12-08 22:50:12"
45:195:2:"2000-12-28 08:39:19"
389:1914:1:"2000-12-08 19:18:38"
4983:1188:4:"2000-11-30 05:44:28"
4785:3552:4:"2000-07-07 23:33:18"
1169:3041:1:"2000-11-22 04:01:00"
713:442:3:"2000-11-29 22:58:21"
609:1356:5:"2000-12-03 19:37:07"
4626:185:2:"2000-07-20 19:21:37"
4390:2953:3:"2000-08-01 23:36:43"
5643:199:3:"2000-05-21 08:11:47"
5886:11:3:"2000-05-05 02:31:34"
2100:2724:5:"2000-11-19 23:27:40"
3922:1291:5:"2000-08-08 07:51:36"
2928:29:5:"2000-10-14 21:12:17"
5657:163:4:"2003-01-04 03:12:20"
389:3512:3:"2000-12-08 19:20:30"
2890:1792:3:"2000-10-20 07:07:22"
3520:1961:5:"2000-08-22 13:45:17"
5908:2640:4:"2000-05-06 16:59:41"
1303:2111:4:"2003-01-11 16:11:33"
2383:3258:3:"2000-11-15 22:54:29"
1142:1265:4:"2000-11-22 07:36:56"
3018:1393:4:"2000-10-03 23:03:23"
2725:3917:3:"2000-11-03 17:52:58"
4543:3204:3:"2001-11-02 00:50:31"
783:3000:4:"2000-12-01 21:17:31"
3512:1163:4:"2000-10-22 23:47:16"
5811:920:4:"2000-05-10 08:15:15"
2484:3424:2:"2000-11-13 22:01:56"
3011:1288:5:"2000-10-02 22:24:47"
1425:1028:4:"2000-11-21 22:03:55"
3690:2770:2:"2000-08-15 05:36:27"
3560:150:5:"2001-08-19 23:05:37"
5260:602:3:"2000-06-17 02:24:20"
5845:2692:5:"2000-05-08 17:21:34"
2063:2046:3:"2000-11-28 02:54:44"
3453:1674:3:"2000-09-01 01:52:59"
921:3448:4:"2000-11-26 03:06:08"
5886:364:3:"2000-05-05 02:24:13"
5455:1525:2:"2000-07-03 05:44:01"
4760:434:3:"2000-07-09 02:10:09"
3394:2000:4:"2000-08-28 21:51:30"
1181:3090:4:"2000-11-23 04:02:02"
3732:2194:5:"2002-11-16 18:51:32"
3412:3481:5:"2000-12-24 02:06:45"
3142:1199:5:"2000-09-15 05:55:15"
4502:1036:4:"2000-07-30 22:44:03"
4053:1221:5:"2000-08-05 19:25:39"
2599:480:4:"2000-11-09 19:14:47"
2263:1407:4:"2000-11-18 22:11:01"
4625:1307:2:"2000-07-20 19:05:59"
5263:3703:4:"2000-06-16 22:32:41"
3266:2858:5:"2000-09-06 05:45:55"
2649:3809:3:"2000-11-07 22:22:10"
101:2404:5:"2000-12-23 14:39:07"
3032:716:4:"2000-09-30 23:53:38"
223:1580:4:"2000-12-15 18:47:55"
4892:3175:4:"2000-07-04 20:23:35"
4791:1377:2:"2000-07-07 23:06:43"
1437:2369:5:"2000-11-20 23:23:59"
4408:3834:2:"2000-08-01 21:55:20"
2255:357:4:"2000-11-19 00:50:27"
1473:1952:4:"2000-11-20 23:08:33"
5985:3052:5:"2000-06-10 16:48:00"
5131:1377:2:"2000-06-27 20:31:20"
1501:1537:3:"2000-11-22 22:55:46"
5419:2968:4:"2000-06-05 05:10:51"
2793:1252:5:"2000-10-30 19:44:01"
839:230:3:"2001-01-29 09:39:48"
3475:1234:5:"2000-11-21 03:24:46"
690:2144:4:"2000-11-30 12:40:54"
3717:1213:3:"2000-08-25 20:27:50"
3163:2064:5:"2000-09-14 00:25:47"
2887:2273:4:"2002-08-21 03:55:49"
3909:2428:4:"2000-08-08 19:34:09"
4663:1079:4:"2000-07-17 21:55:08"
5015:2150:4:"2000-07-03 02:41:24"
1006:3300:3:"2000-11-24 04:10:45"
4238:193:2:"2000-08-04 02:20:37"
3683:1950:4:"2000-08-15 17:54:11"
4404:3186:3:"2000-08-01 20:55:04"
261:3751:5:"2000-12-13 01:43:07"
5990:2804:4:"2000-04-27 22:47:06"
1273:1207:5:"2000-11-21 14:48:56"
3769:1197:5:"2000-08-12 06:55:51"
1449:3707:3:"2000-11-29 18:34:02"
5788:3497:3:"2000-05-12 07:37:18"
937:1527:4:"2001-06-05 22:37:38"
2700:522:4:"2000-11-04 03:50:24"
1764:2334:4:"2000-11-20 08:01:21"
3334:539:4:"2000-09-01 23:32:02"
3589:1208:1:"2002-04-21 17:10:46"
5675:1907:3:"2000-08-21 15:46:20"
1677:1617:5:"2000-11-20 09:25:37"
4459:1927:4:"2000-07-31 22:02:24"
2659:1589:3:"2000-11-06 01:21:37"
2451:2583:4:"2001-05-08 14:26:24"
4904:2532:5:"2000-07-04 06:07:55"
5288:2950:4:"2000-06-16 16:22:10"
118:2985:4:"2000-12-22 17:05:21"
3142:1186:5:"2000-09-15 05:52:39"
5015:1939:3:"2000-07-03 04:50:28"
2017:2916:4:"2000-11-19 23:43:10"
778:1370:4:"2000-11-28 19:34:31"
2749:296:4:"2001-03-01 18:30:55"
5306:2966:4:"2000-06-14 22:49:30"
4219:3703:5:"2000-08-03 17:18:21"
1051:1091:1:"2000-11-24 07:25:30"
3101:2617:4:"2000-09-22 02:28:21"
6040:1704:3:"2000-04-26 01:21:27"
3032:3744:4:"2000-09-30 21:51:14"
690:1299:5:"2000-11-30 12:20:03"
474:3256:4:"2000-12-08 02:29:43"
2372:3453:4:"2000-11-19 01:15:01"
4035:1136:5:"2000-08-05 22:54:05"
2225:1580:3:"2000-11-20 01:27:11"
4926:2081:3:"2000-07-04 16:09:25"
2100:1031:4:"2000-11-19 23:04:48"
1689:673:3:"2000-11-20 09:52:42"
